title,author,goodreads_url
The Bad Seed (The Food Group #1),Jory John,https://www.goodreads.com/book/show/39991777-the-bad-seed
Chicken Soup with Rice: A Book of Months,Maurice Sendak,https://www.goodreads.com/book/show/590552.Chicken_Soup_with_Rice
To Kill a Mockingbird,Harper Lee,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird
There's a Wocket in My Pocket!,Dr. Seuss,https://www.goodreads.com/book/show/310272.There_s_a_Wocket_in_My_Pocket_
Harriet the Spy,Louise Fitzhugh,https://www.goodreads.com/book/show/232576.Harriet_the_Spy
The Diary of a Young Girl,Anne Frank,https://www.goodreads.com/book/show/48855.The_Diary_of_a_Young_Girl
We're Going on a Bear Hunt,Michael Rosen,https://www.goodreads.com/book/show/201126.We_re_Going_on_a_Bear_Hunt
"Good Night, Gorilla",Peggy Rathmann,https://www.goodreads.com/book/show/773276.Good_Night_Gorilla
How Do Dinosaurs Say Good Night?,Jane Yolen,https://www.goodreads.com/book/show/122125.How_Do_Dinosaurs_Say_Good_Night_
George and Martha: The Complete Stories of Two Best Friends,James  Marshall,https://www.goodreads.com/book/show/408766.George_and_Martha
"No, David!",David Shannon,https://www.goodreads.com/book/show/1062516.No_David_
Joey and His Friend Water,Ellen J. Lewinberg,https://www.goodreads.com/book/show/153680369-joey-and-his-friend-water
If You Give a Moose a Muffin,Laura Numeroff,https://www.goodreads.com/book/show/826584.If_You_Give_a_Moose_a_Muffin
My Big Fat Zombie Goldfish,Mo O'Hara,https://www.goodreads.com/book/show/17405203-my-big-fat-zombie-goldfish
"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,https://www.goodreads.com/book/show/28187.The_Lightning_Thief
But Not the Hippopotamus,Sandra Boynton,https://www.goodreads.com/book/show/515885.But_Not_the_Hippopotamus
Island of the Blue Dolphins,Scott O'Dell,https://www.goodreads.com/book/show/41044096-island-of-the-blue-dolphins
"The Most Magnificent Thing (Most Magnificent, 1)",Ashley Spires,https://www.goodreads.com/book/show/18383325-the-most-magnificent-thing
The Hundred Dresses,Eleanor Estes,https://www.goodreads.com/book/show/42369.The_Hundred_Dresses
Bedtime for Frances,Russell Hoban,https://www.goodreads.com/book/show/906541.Bedtime_for_Frances
Rikki-Tikki-Tavi,Rudyard Kipling,https://www.goodreads.com/book/show/577542.Rikki_Tikki_Tavi
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,https://www.goodreads.com/book/show/119322.The_Golden_Compass
