title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url,description
"Emily of New Moon (Emily, #1)",L.M. Montgomery,https://www.goodreads.com/book/show/3562.Emily_of_New_Moon,Emily of New Moon,Lucy Maud Montgomery,https://covers.openlibrary.org/b/id/14638065-L.jpg,https://openlibrary.org/works/OL77781W,
Murder in the Coven: Maya's Magical Adventures continue,Malcolm McCoard,https://www.goodreads.com/book/show/50281680-murder-in-the-coven,,,,,
Black Beauty,John Davage,https://www.goodreads.com/book/show/4607690-black-beauty,,,,,
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,https://www.goodreads.com/book/show/6294.Howl_s_Moving_Castle,Wizard's Castle (Howl's Moving Castle #1-2),Diana Wynne Jones,https://covers.openlibrary.org/b/id/8051799-L.jpg,https://openlibrary.org/works/OL16104968W,"Dianne Wynne Jones is the secret master of fantasy books about young people. This book is a rollicking ride filled with puzzles and prophecies and contains the book Howl's Moving Castle, and the book Castle In the Air."
"The 101 Dalmatians (The Hundred and One Dalmatians, #1)",Dodie Smith,https://www.goodreads.com/book/show/511614.The_101_Dalmatians,,,,,
"The Silver Chair (Chronicles of Narnia, #4)",C.S. Lewis,https://www.goodreads.com/book/show/65641.The_Silver_Chair,The Silver Chair,C.S. Lewis,https://covers.openlibrary.org/b/id/6950992-L.jpg,https://openlibrary.org/works/OL71078W,Jill and Eustace must rescue the Prince from the evil Witch.
Parts,Tedd Arnold,https://www.goodreads.com/book/show/1197646.Parts,Parts,Tedd Arnold,https://covers.openlibrary.org/b/id/3853780-L.jpg,https://openlibrary.org/works/OL478819W,A five-year-old boy thinks his body is falling apart until he learns new teeth grow and hair and skin replace themselves.
They Came From The North,Malcolm McCoard,https://www.goodreads.com/book/show/54267027-they-came-from-the-north,They Came from the North,Maya McCoard,,https://openlibrary.org/works/OL30696324W,
Mischief and the Guardian Cats,Malcolm McCoard,https://www.goodreads.com/book/show/56177889-mischief-and-the-guardian-cats,,,,,
"It's a Busy, Busy World",Richard Scarry,https://www.goodreads.com/book/show/1425766.It_s_a_Busy_Busy_World,,,,,
The Very Quiet Cricket,Eric Carle,https://www.goodreads.com/book/show/125423.The_Very_Quiet_Cricket,The very quiet cricket,Eric Carle,https://covers.openlibrary.org/b/id/259476-L.jpg,https://openlibrary.org/works/OL53023W,A very quiet cricket who wants to rub his wings together and make a sound as do so many other animals finally achieves his wish. The cricket's sound is reproduced at the end of the book.
The Berenstain Bears Get the Gimmies,Stan Berenstain,https://www.goodreads.com/book/show/1129297.The_Berenstain_Bears_Get_the_Gimmies,The Berenstain Bears Get the Gimmies,Stan Berenstain,https://covers.openlibrary.org/b/id/6793630-L.jpg,https://openlibrary.org/works/OL15829412W,"**When a cub's behavior takes a turn for the worst, it's hard for parents to know what to do first.**

***Gran and Gramps come up with a plan to help selfish Brother and Sister Bear get rid of a bad case of the galloping greedy gimmies.***"
