title,author,goodreads_url,ol_title,ol_author,cover_url,openlibrary_url
"Magyk (Septimus Heap, #1)",Angie Sage,https://www.goodreads.com/book/show/769483.Magyk,Magyk (Septimus Heap),Angie Sage,https://covers.openlibrary.org/b/id/488367-L.jpg,https://openlibrary.org/works/OL3261609W
"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,https://www.goodreads.com/book/show/78418.The_Reptile_Room,"A Library of Unfortunate Events, Books 1-10 (The Bad Beginning, The Reptile Room, The Wide Window, The Miserable Mill, The Austere Academy, The Ersatz Elevator, The Vile Village, The Hostile Hospital, The Carnivorous Carnival, The Slippery Slope) [SHRINK WRAPPED]",Lemony Snicket,https://covers.openlibrary.org/b/id/13574710-L.jpg,https://openlibrary.org/works/OL118514W
Dippy and the Crocuses,Ellie B. Morris,https://www.goodreads.com/book/show/19549303-dippy-and-the-crocuses,,,,
The Talking Eggs: A Folktale from the American South,Robert D. San Souci,https://www.goodreads.com/book/show/803982.The_Talking_Eggs,,,,
"De brief voor de koning (De brief voor de koning, #1)",Tonke Dragt,https://www.goodreads.com/book/show/1835829.De_brief_voor_de_koning,De brief voor de koning,Tonke Dragt,https://covers.openlibrary.org/b/id/1001801-L.jpg,https://openlibrary.org/works/OL3793472W
Blubber,Judy Blume,https://www.goodreads.com/book/show/37739.Blubber,Blubber,Judy Blume,https://covers.openlibrary.org/b/id/9268207-L.jpg,https://openlibrary.org/works/OL1838312W
"Rosie Revere, Engineer: A Picture Book",Andrea Beaty,https://www.goodreads.com/book/show/17290220-rosie-revere-engineer,,,,
Chicken Sunday,Patricia Polacco,https://www.goodreads.com/book/show/443621.Chicken_Sunday,Chicken Sunday,Patricia Polacco,https://covers.openlibrary.org/b/id/2078980-L.jpg,https://openlibrary.org/works/OL25578W
"The Travels of Babar (Babar, #2)",Jean de Brunhoff,https://www.goodreads.com/book/show/837393.The_Travels_of_Babar,the tale of peter rabbit/the travels of babar,Beatrix Potter,,https://openlibrary.org/works/OL43113184W
Katie John,Mary Calhoun,https://www.goodreads.com/book/show/1170281.Katie_John,Katie John,Mary Calhoun,https://covers.openlibrary.org/b/id/6806839-L.jpg,https://openlibrary.org/works/OL15843634W
"The Mysterious Benedict Society and the Perilous Journey (The Mysterious Benedict Society, #2)",Trenton Lee Stewart,https://www.goodreads.com/book/show/2159225.The_Mysterious_Benedict_Society_and_the_Perilous_Journey,The Mysterious Benedict Society and the Perilous Journey (The mysterious Benedict Society #2),Trenton Lee Stewart,https://covers.openlibrary.org/b/id/6274740-L.jpg,https://openlibrary.org/works/OL5848456W
"Little Men (Little Women, #2)",Louisa May Alcott,https://www.goodreads.com/book/show/78950.Little_Men,"Little Men (Little Women, #2)",Louisa May Alcott,,https://openlibrary.org/works/OL40547394W
